Make,Model,Year,Color,VIN,Price
Lexus,IS,2007,Yellow,5GAEV23DX9J626861,38610.47
Mazda,Miata MX-5,2012,Puce,1G6AE1R35F0673886,55209.4
Buick,Hearse,2017,Green,WAUKG68E85A355214,28383.19
Dodge,Ram 1500,2007,Red,JN8AF5MR7DT994888,84078.3
Audi,Quattro,1994,Puce,WP0AB2A92FS095486,46146.29
Buick,Regal,2016,Mauv,YV4902BZ1C1772355,51521.34
Ferrari,612 Scaglietti,2010,Violet,WUAUUAFG5F7497890,33961.96
Mazda,929,1998,Crimson,WAUJ2AFD9FN535495,52111.81
Audi,A3,1997,Pink,WBAVT73508F699228,51425.01
Chevrolet,Corvette,2006,Yellow,1N4AB7AP5DN938738,86846.06
Nissan,240SX,1996,Khaki,KMHGH4JH4FU423762,66782.83
Chevrolet,Lumina APV,2005,Goldenrod,JHMZF1C6XES979192,25695.7
Hyundai,Elantra,2021,Crimson,SALAG2V66EA599814,96408.78
Jeep,Grand Cherokee,2015,Green,SAJWA8JH2EM833245,92206.27
BMW,1 Series,2016,Crimson,JN1CV6EK7DM490059,93935.15
Jeep,Grand Cherokee,2005,Fuscia,JN1AZ4FH7FM695497,47989.74
Aston Martin,DB9 Volante,2004,Red,2C3CDZFJ9FH939212,73461.96
Mitsubishi,Eclipse,1999,Maroon,1FTEX1CM8BF394267,91560.01
Nissan,Quest,2020,Teal,1G4HP54K734418796,33460.22
Lincoln,Town Car,2022,Puce,1FADP5BU1DL358938,8045.6
Dodge,Challenger,2023,Purple,WAUMGAFL2DA759945,94512.97
Alfa Romeo,164,1993,Goldenrod,WBA3N7C58EF675207,96325.42
Mitsubishi,Galant,2012,Green,SCBDR3ZA8AC671973,54221.38
Subaru,Tribeca,1993,Teal,1G6DU6EA8A0317443,23414.87
Honda,Pilot,2002,Crimson,WA1LGBFE6CD050304,91200.68
Dodge,Dakota,1991,Indigo,1FTFW1E80AK216382,81481.23
Mitsubishi,Outlander,2022,Khaki,WBALZ5C53CD241634,68570.34
Mercedes-Benz,500SL,2013,Violet,2G4WB52K241598114,42855.88
Mercedes-Benz,W126,1995,Green,WBABW53444P889334,8281.73
Porsche,928,2015,Violet,JTHFE2C22E2086216,22462.54
Toyota,Supra,2001,Green,5UXFE8C53AL067191,24652.41
Bentley,Arnage,2005,Red,WAULC68E05A165472,28815.35
Dodge,Ram,2007,Blue,1G6KD57YX6U136470,23722.07
Audi,A8,1994,Violet,5NPDH4AE4CH340433,65015.96
Mercedes-Benz,CLK-Class,2019,Fuscia,WBAPK53509A541924,44885.78
Austin,Mini Cooper S,1990,Violet,1N4AL2AP0BC268802,1377.75
Buick,Skylark,2015,Red,WAUMFAFL5DN750183,71763.52
Honda,Element,2007,Violet,WBAYM1C5XDD870807,3404.11
Toyota,FJ Cruiser,2013,Indigo,WBA3B9G50FN446123,17779.29
Citroën,SM,1990,Goldenrod,NM0KS9BN5DT154687,24460.37
Audi,Quattro,2009,Purple,3C63D3ML7CG554506,28720.86
Mazda,929,1990,Crimson,1G6DL5EYXB0115490,57002.41
Mitsubishi,Mirage,2012,Blue,5TFBW5F10AX770826,30208.26
Subaru,Forester,1990,Khaki,WA1DGAFEXDD701420,33474.02
Acura,Vigor,2003,Orange,KNAFT4A26D5626571,99936.1
Ford,Transit Connect,1996,Mauv,5GADV33167D330190,28156.57
Jeep,Grand Cherokee,2014,Yellow,5J8TB3H58DL512622,82500.16
Dodge,Ram 3500,2003,Crimson,JH4DC53843S079820,93457.26
Cadillac,Allante,2020,Indigo,ML32A3HJ5EH349610,31700.75
Dodge,Charger,2009,Crimson,5FPYK1F50EB665924,22744.58
Toyota,T100 Xtra,1991,Teal,WAUDGBFL6AA607300,90036.99
Suzuki,X-90,1996,Maroon,1GYUKGEF7AR425921,27001.06
Lincoln,MKZ,1994,Purple,WAUBF98E58A796534,24246.87
Pontiac,Bonneville,1991,Fuscia,WAUPN94E28N818545,23139.13
Audi,5000S,2002,Violet,4T1BF1FK6EU804319,55667.71
BMW,Z8,1991,Khaki,WA1VMBFE3AD355600,8526.94
Ford,Thunderbird,2013,Puce,TRUTC28N741642267,17914.68
GMC,Sierra 2500,2022,Teal,1GD02ZCG4CF769024,22390.29
Chevrolet,Caprice,1996,Red,TRUB3AFK0C1674409,8246.36
Ford,F250,2013,Fuscia,WBAXG5C53CC586028,4883.62
Chevrolet,Cobalt,1993,Aquamarine,JA32U2FU7DU068134,32497.47
Bentley,Continental GT,2014,Green,WAUKFBFLXBN842383,53848.6
Chevrolet,Silverado 1500,2021,Goldenrod,2G4WE587771464908,73843.39
Toyota,Land Cruiser,2013,Purple,5N1AN0NUXFN373894,35124.03
Chevrolet,TrailBlazer,1999,Violet,2C4RDGBG3FR829545,87366.97
BMW,3 Series,2003,Purple,2T1BU4EE6CC555327,34944.97
Suzuki,Grand Vitara,1991,Crimson,1GYS3JEF3DR195171,68863.85
Porsche,968,2016,Blue,KNDJN2A28E7160658,38901.06
Maserati,Karif,1999,Yellow,SALSF2D40AA562940,15055.41
Lamborghini,Murciélago,2013,Purple,SCBZK25EX2C771832,26245.27
Mitsubishi,Eclipse,2011,Goldenrod,1G6DD67V590407743,97688.56
Volkswagen,Jetta,1992,Mauv,1G6AT5SX1E0502027,70436.55
Geo,Prizm,2018,Fuscia,3C63DRHLXCG180163,59944.85
Mazda,B-Series,1998,Maroon,WAUGL98E66A565217,65084.54
Cadillac,Seville,2012,Teal,TRUVD38J891457452,35687.82
Maybach,62,2006,Orange,1FTEX1EW7AK872957,31681.67
Chevrolet,Camaro,2001,Aquamarine,SCBZU25E81C625969,7315.39
Ford,Ranger,2015,Teal,SCFEBBBK9EG422911,45449.72
Mercury,Cougar,1995,Pink,WBACK73491L666351,49105.53
Mercedes-Benz,500E,1995,Teal,1GYFC53299R610977,97705.18
Ford,F350,2008,Crimson,1FTEX1CW9AF512519,95481.68
Chevrolet,Metro,1995,Purple,WDDGF4HBXCA113470,14272.76
Cadillac,Fleetwood,2003,Yellow,WBA3B3C5XDF224148,36257.46
Acura,RL,1995,Violet,WAUHF98P28A885098,72707.47
Honda,Odyssey,2023,Fuscia,WBABS33451J473646,2851.96
Lincoln,Town Car,2000,Green,5UXKS4C54E0876982,33570.29
Dodge,Dakota,2000,Mauv,5GAER13708J389255,8107.79
Mitsubishi,Eclipse,2012,Purple,WBAKX8C55CC819841,40355.07
Dodge,Grand Caravan,2001,Violet,TRUVD38J991121387,81775.19
Acura,Integra,2016,Mauv,3D4PG3FG3BT331714,75241
Suzuki,Sidekick,1994,Teal,WAUHMAFC1EN514171,88133.34
Jeep,Compass,1994,Green,1FTFW1E82AK985384,38644.78
Ford,ZX2,2007,Mauv,WBAVM5C58DV736754,78898.01
Suzuki,XL-7,1993,Turquoise,1G6DS5E3XC0466666,10762.55
Mitsubishi,Endeavor,1990,Maroon,WAUKH74F17N523126,17834.51
Chevrolet,Sportvan G20,2021,Crimson,SALSF2D40AA272746,16448.28
Saturn,L-Series,2019,Pink,WVWEU9AN8AE267741,81700.91
Mitsubishi,Galant,1994,Khaki,WP0AB2A98FS132184,36057.22
Honda,Passport,2011,Puce,SCBFT7ZA8EC767089,69191.78
Chevrolet,Camaro,2021,Purple,WAUGL98E67A152537,23671.63
GMC,Safari,1999,Aquamarine,JTHKD5BH0C2278529,44190.3
Mazda,Mazda2,2004,Turquoise,SCFAB02A16G484945,56344.34
Lincoln,Continental,1991,Crimson,WA1AY94LX8D816136,31738.17
Pontiac,Bonneville,2016,Pink,5GAKRCED6CJ232291,23902.55
Ford,Escort,2018,Fuscia,WAUKF78P39A463045,7836.24
